iter	Logloss
0	0.6474494629
1	0.609193929
2	0.5739999186
3	0.5445569661
4	0.5213435872
5	0.4949613444
6	0.4737529704
7	0.4541643066
8	0.4369803467
9	0.4203003337
10	0.4053236898
11	0.3903000895
12	0.3807291667
13	0.368787028
14	0.357078776
15	0.3471962077
16	0.3376057129
17	0.3291179403
18	0.3211535645
19	0.3132474976
20	0.306769694
21	0.3006567179
22	0.2929429525
23	0.2868145955
24	0.2816331787
25	0.2762082113
26	0.2718048299
27	0.2670659993
28	0.261600179
29	0.2581252848
30	0.2534335327
31	0.2488203532
32	0.2454377645
33	0.241789917
34	0.2380907389
35	0.2347428385
36	0.2313190308
37	0.2283517049
38	0.2253533122
39	0.223115682
40	0.220780599
41	0.2187026367
42	0.2159192708
43	0.2133548991
44	0.210446696
45	0.2086052653
46	0.2055939941
47	0.2035431519
48	0.2008450114
49	0.1989007975
50	0.1963670451
51	0.1946123861
52	0.1928845622
53	0.1913168132
54	0.1890527547
55	0.1870367432
56	0.185652832
57	0.1836827799
58	0.1821699219
59	0.1805983887
60	0.1788852539
61	0.1773742472
62	0.1756612956
63	0.1741165365
64	0.1728444214
65	0.1716259155
66	0.1702364705
67	0.1685667725
68	0.167375651
69	0.1660569661
70	0.1646612345
71	0.163226064
72	0.16142335
73	0.1603573608
74	0.1590865885
75	0.1583289591
76	0.1568867187
77	0.1559085388
78	0.1548045247
79	0.153543986
80	0.1523669027
81	0.1511969808
82	0.15052889
83	0.1492909444
84	0.1482830811
85	0.1472203573
86	0.146440328
87	0.1451661682
88	0.143940918
89	0.1428197327
90	0.1416205343
91	0.1408404643
92	0.1397370605
93	0.1387388509
94	0.1376921794
95	0.1365979411
96	0.1358193766
97	0.134648763
98	0.133881012
99	0.1328318278
100	0.1319805298
101	0.1311439107
102	0.130530599
103	0.1295729675
104	0.1284411723
105	0.127714976
106	0.1266877441
107	0.1257329712
108	0.1250102437
109	0.1242322286
110	0.123748759
111	0.1231201579
112	0.1224242961
113	0.1215274658
114	0.1207889201
115	0.1200078023
116	0.1194890035
117	0.1190427246
118	0.1186346436
119	0.1181596273
120	0.1174136149
121	0.1166814168
122	0.1162556763
123	0.1152843221
124	0.1145806681
125	0.1138114624
126	0.1132874858
127	0.1128793844
128	0.1124845276
129	0.1117808634
130	0.1112452189
131	0.1107210795
132	0.1104159749
133	0.1098059285
134	0.1092533061
135	0.1087206319
136	0.1081048177
137	0.1077109375
138	0.1073940125
139	0.1069159241
140	0.1063398946
141	0.1057667135
142	0.1053197021
143	0.1049810689
144	0.1042409465
145	0.1036846008
146	0.1031457113
147	0.1030940552
148	0.1026898804
149	0.1024863892
